date,price,value
01-01-1950,34.73,493.488
01-02-1950,34.73,420.707
01-03-1950,34.73,433.171
01-04-1950,34.73,437.393
01-05-1950,34.73,413.148
01-06-1950,34.73,422.645
01-07-1950,34.73,416.205
01-08-1950,34.73,412.245
01-09-1950,34.73,394.245
01-10-1950,34.73,381.016
01-11-1950,34.73,388.06
01-12-1950,34.72,370.735
01-01-1951,34.72,386.038
01-02-1951,34.73,394.743
01-03-1951,34.73,381.371
01-04-1951,34.73,376.957
01-05-1951,34.73,378.314
01-06-1951,34.73,347.598
01-07-1951,34.72,347.677
01-08-1951,34.71,340.945
01-09-1951,34.71,340.217
01-10-1951,34.71,341.286
01-11-1951,34.73,319.622
01-12-1951,34.66,302.852
01-01-1952,34.49,299.833
01-02-1952,34.49,303.205
01-03-1952,34.68,324.883
01-04-1952,34.82,316.395
01-05-1952,34.73,316.298
01-06-1952,34.53,317.202
01-07-1952,34.57,330.131
01-08-1952,34.58,323.764
01-09-1952,34.51,326.093
01-10-1952,34.63,325.548
01-11-1952,34.72,321.985
01-12-1952,34.79,345.561
01-01-1953,34.88,339.053
01-02-1953,34.95,346.095
01-03-1953,34.92,340.716
01-04-1953,34.93,342.325
01-05-1953,34.9,342.798
01-06-1953,34.89,348.554
01-07-1953,34.91,376.29
01-08-1953,34.91,418.152
01-09-1953,34.76,423.863
01-10-1953,34.79,396.983
01-11-1953,34.86,391.595
01-12-1953,34.85,408.524
01-01-1954,34.86,401.045
01-02-1954,34.88,408.848
01-03-1954,34.92,439.665
01-04-1954,35.04,461.65
01-05-1954,35.08,449.282
01-06-1954,35.07,450.33
01-07-1954,35.08,460.988
01-08-1954,35.05,460.12
01-09-1954,35.08,465.764
01-10-1954,35.08,468.14
01-11-1954,35.06,487.079
01-12-1954,35.04,477.758
01-01-1955,35.04,442.124
01-02-1955,35.05,443.491
01-03-1955,35.06,451.558
01-04-1955,35.05,451.32
01-05-1955,35.05,451.657
01-06-1955,35.04,437.452
01-07-1955,35.05,431.064
01-08-1955,35.03,413.439
01-09-1955,34.98,406.39
01-10-1955,34.98,419.966
01-11-1955,34.98,419.248
01-12-1955,34.97,404.445
01-01-1956,34.99,387.973
01-02-1956,34.99,390.274
01-03-1956,34.99,384.72
01-04-1956,34.98,371.35
01-05-1956,34.99,367.727
01-06-1956,34.98,375.21
01-07-1956,35,365.548
01-08-1956,35.02,361.798
01-09-1956,35.01,366.8
01-10-1956,35.02,394.361
01-11-1956,34.98,409.655
01-12-1956,34.9,410.118
01-01-1957,34.88,416.543
01-02-1957,34.89,393.661
01-03-1957,34.91,374.929
01-04-1957,34.92,368.855
01-05-1957,34.93,352.657
01-06-1957,34.99,361.82
01-07-1957,34.99,394.861
01-08-1957,34.97,389.56
01-09-1957,34.96,381.333
01-10-1957,34.97,381.866
01-11-1957,34.97,378.161
01-12-1957,34.99,384.591
01-01-1958,35.01,363.748
01-02-1958,35.08,363.39
01-03-1958,35.09,358.055
01-04-1958,35.1,357.117
01-05-1958,35.11,366.36
01-06-1958,35.1,368.013
01-07-1958,35.11,356.721
01-08-1958,35.1,348.46
01-09-1958,35.1,358.826
01-10-1958,35.11,359.96
01-11-1958,35.1,361.875
01-12-1958,35.09,354.436
01-01-1959,35.07,353.853
01-02-1959,35.06,344.641
01-03-1959,35.06,338.728
01-04-1959,35.08,337.039
01-05-1959,35.12,340.784
01-06-1959,35.12,352.452
01-07-1959,35.13,343.603
01-08-1959,35.12,345.3
01-09-1959,35.13,344.277
01-10-1959,35.1,334.924
01-11-1959,35.06,334.657
01-12-1959,35.05,328.993
01-01-1960,35.09,329.31
01-02-1960,35.09,329.974
01-03-1960,35.09,341.948
01-04-1960,35.11,367.045
01-05-1960,35.1,371.914
01-06-1960,35.09,392.034
01-07-1960,35.1,379.795
01-08-1960,35.13,355.561
01-09-1960,35.22,364.005
01-10-1960,35.78,373.939
01-11-1960,35.82,383.243
01-12-1960,35.54,387.11
01-01-1961,35.56,381.658
01-02-1961,35.17,384
01-03-1961,35.08,377.908
01-04-1961,35.08,381.343
01-05-1961,35.06,385.714
01-06-1961,35.07,385.45
01-07-1961,35.11,380.207
01-08-1961,35.16,391.348
01-09-1961,35.19,390.164
01-10-1961,35.19,384.377
01-11-1961,35.19,379.48
01-12-1961,35.15,378.738
01-01-1962,35.16,376.745
01-02-1962,35.13,381.82
01-03-1962,35.09,391.339
01-04-1962,35.08,385.231
01-05-1962,35.08,387.618
01-06-1962,35.1,386.138
01-07-1962,35.12,383.502
01-08-1962,35.12,382.931
01-09-1962,35.13,383.202
01-10-1962,35.14,385.209
01-11-1962,35.09,387.445
01-12-1962,35.08,398.695
01-01-1963,35.06,404.919
01-02-1963,35.08,396.512
01-03-1963,35.1,392.87
01-04-1963,35.1,391.99
01-05-1963,35.08,385.245
01-06-1963,35.08,383.457
01-07-1963,35.09,387.51
01-08-1963,35.1,383.29
01-09-1963,35.08,380.909
01-10-1963,35.08,377.869
01-11-1963,35.08,369.338
01-12-1963,35.08,355.025
01-01-1964,35.08,346.4
01-02-1964,35.08,352.311
01-03-1964,35.08,344.707
01-04-1964,35.08,344.1
01-05-1964,35.08,340.805
01-06-1964,35.08,323.78
01-07-1964,35.08,323.998
01-08-1964,35.08,322.616
01-09-1964,35.09,324.863
01-10-1964,35.11,306.345
01-11-1964,35.1,288.776
01-12-1964,35.12,289.264
01-01-1965,35.13,297.743
01-02-1965,35.14,295.87
01-03-1965,35.16,308.558
01-04-1965,35.14,298.971
01-05-1965,35.1,292.223
01-06-1965,35.1,292.874
01-07-1965,35.12,284.228
01-08-1965,35.15,288.661
01-09-1965,35.14,296.595
01-10-1965,35.11,294.243
01-11-1965,35.11,291.357
01-12-1965,35.13,287.333
01-01-1966,35.15,287.495
01-02-1966,35.17,286.243
01-03-1966,35.15,282.62
01-04-1966,35.13,276.932
01-05-1966,35.12,261.402
01-06-1966,35.15,256.198
01-07-1966,35.18,256.936
01-08-1966,35.18,264.47
01-09-1966,35.19,311.562
01-10-1966,35.16,293.65
01-11-1966,35.16,283.743
01-12-1966,35.18,284.59
01-01-1967,35.18,300.855
01-02-1967,35.17,286.704
01-03-1967,35.16,279.961
01-04-1967,35.17,275.293
01-05-1967,35.18,285.368
01-06-1967,35.19,282.152
01-07-1967,35.19,274.523
01-08-1967,35.19,273.676
01-09-1967,35.19,270.405
01-10-1967,35.19,265.989
01-11-1967,35.2,271.892
01-12-1967,35.19,265.934
01-01-1968,35.18,262.018
01-02-1968,35.2,263.273
01-03-1968,35.2,260.75
01-04-1968,37.878,272.057
01-05-1968,40.691,270.738
01-06-1968,41.111,267.707
01-07-1968,39.53,272.657
01-08-1968,39.17,282.478
01-09-1968,40.203,283.322
01-10-1968,39.21,276.248
01-11-1968,39.795,275.992
01-12-1968,41.113,281.764
01-01-1969,42.291,295.683
01-02-1969,42.616,294.353
01-03-1969,43.171,302.862
01-04-1969,43.295,314.48
01-05-1969,43.461,321.536
01-06-1969,41.442,313.567
01-07-1969,41.755,310.045
01-08-1969,41.128,318.8
01-09-1969,40.865,316.748
01-10-1969,40.476,319.255
01-11-1969,37.452,333.3
01-12-1969,35.189,356.864
01-01-1970,34.946,359.575
01-02-1970,34.994,341.564
01-03-1970,35.089,328.208
01-04-1970,35.623,355.405
01-05-1970,35.958,356.912
01-06-1970,35.437,350.765
01-07-1970,35.329,358.993
01-08-1970,35.377,378.859
01-09-1970,36.196,379.093
01-10-1970,37.553,390.2
01-11-1970,37.455,407.674
01-12-1970,37.434,414.495
01-01-1971,37.868,404.73
01-02-1971,38.716,405.976
01-03-1971,38.873,404.85
01-04-1971,39.001,383.953
01-05-1971,40.493,391.78
01-06-1971,40.105,398.441
01-07-1971,40.929,400.133
01-08-1971,42.722,405.402
01-09-1971,41.976,420.21
01-10-1971,42.473,439.059
01-11-1971,42.842,442.974
01-12-1971,43.455,424.08
01-01-1972,45.64,423.43
01-02-1972,48.237,434.355
01-03-1972,48.288,429.14
01-04-1972,49.026,422.903
01-05-1972,54.5,430.302
01-06-1972,62.17,424.745
01-07-1972,65.558,437.773
01-08-1972,66.917,455.936
01-09-1972,65.589,470.107
01-10-1972,64.824,476.668
01-11-1972,62.726,509.423
01-12-1972,63.779,549.433
01-01-1973,65.127,555.518
01-02-1973,73.971,557.215
01-03-1973,84.105,611.853
01-04-1973,90.441,676.769
01-05-1973,101.623,597.898
01-06-1973,119.8,633.093
01-07-1973,120.364,631.557
01-08-1973,106.225,600.15
01-09-1973,103.034,586.648
01-10-1973,99.923,626.825
01-11-1973,94.645,629.513
01-12-1973,106.236,630.352
01-01-1974,129.027,665.103
01-02-1974,150,655.891
01-03-1974,168.298,680.008
01-04-1974,172.243,668.31
01-05-1974,163.568,655.714
01-06-1974,154.013,665.266
01-07-1974,142.283,664.53
01-08-1974,154.362,710.645
01-09-1974,151.66,754.48
01-10-1974,158.533,808.311
01-11-1974,181.483,803.618
01-12-1974,183.683,887.784
01-01-1975,176.864,924.283
01-02-1975,179.553,971.055
01-03-1975,178.203,911.6
01-04-1975,170.066,889.125
01-05-1975,167.293,889.536
01-06-1975,164.25,941.167
01-07-1975,164.867,840.388
01-08-1975,163.168,824.92
01-09-1975,144.311,812.815
01-10-1975,142.691,757.85
01-11-1975,142.565,819.94
01-12-1975,139.279,857.726
01-01-1976,131.695,939.763
01-02-1976,130.94,925.989
01-03-1976,132.676,892.663
01-04-1976,127.91,926.855
01-05-1976,126.913,947.807
01-06-1976,125.684,934.272
01-07-1976,117.866,949.5
01-08-1976,110.055,996.443
01-09-1976,114.098,1043.511
01-10-1976,116.095,1126.119
01-11-1976,130.341,1135.012
01-12-1976,133.674,1119.575
01-01-1977,132.306,1095.8
01-02-1977,136.163,1115.554
01-03-1977,148.339,1148.475
01-04-1977,149.184,1204.321
01-05-1977,146.536,1232.382
01-06-1977,140.828,1196
01-07-1977,143.383,1213.464
01-08-1977,145.009,1271.461
01-09-1977,149.334,1343.19
01-10-1977,158.848,1371.784
01-11-1977,162.132,1393.512
01-12-1977,160.48,1360.475
01-01-1978,173.207,1371.313
01-02-1978,178.36,1422.848
01-03-1978,183.771,1474.431
01-04-1978,175.323,1512.188
01-05-1978,176.19,1528.38
01-06-1978,183.761,1568.526
01-07-1978,188.569,1759.5
01-08-1978,206.455,1780.648
01-09-1978,212.212,1667.893
01-10-1978,227.432,1735.977
01-11-1978,207.082,1652.725
01-12-1978,207.895,1656.095
01-01-1979,226.986,1743.095
01-02-1979,245.59,1675.057
01-03-1979,242.348,1648.539
01-04-1979,239.174,1585.114
01-05-1979,257.738,1595.632
01-06-1979,279.36,1592.784
01-07-1979,295.009,1625.682
01-08-1979,300.793,1741.925
01-09-1979,354.498,1746.348
01-10-1979,390.959,1724.352
01-11-1979,391.518,1687.342
